id, name, address, zip_code, city, state
91, The Ritz Diner, 72 E. Mount Pleasant Avenue, , Livingston, NJ
92, Roberto's Mexican Food, 39510 N. Daisy Mountain Drive, 85086, Anthem, AZ
93, The Rock Cafe, 114 Main Street, , Stroud, OK
94, Rosie's Diner CLOSED, 4500 14 Mile Road, , Rockford, MI
95, Russian River Pub, 11829 River Road, , Forestville, CA
96, Schooner or Later, 241 N. Marina Drive, , Long Beach, CA
97, Scully's Tavern, 9809 Sunset Drive, , Miami, FL
98, Silk City Diner, 435 Spring Garden Street, , Philadelphia, PA
99, Skylark Diner, Route 1 and Wooding Avenue, , Edison, NJ
100, Smokey Valley Truck Stop, 40 Bond Court, , Olive Hill, KY
101, Smoque, 3800 N. Pulaski Road, , Chicago, IL
102, South Side Soda Shop & Diner, 1122 South Main Street, , Goshen, IN
103, Squeeze Inn, 5301 Power Inn Road, 95820, Sacramento, CA
104, Studio Diner, 4701 Ruffin Road, , San Diego, CA
105, Sweetie Pie's, 4270 Manchester Avenue, , St. Louis, MO
106, Taylor's Automatic Refresher, 933 Main Street, , St. Helena, CA
107, Tecolote Cafe, 1203 Cerrillos Road, , Santa Fe, NM
108, Ted Peters Famous Smoked Fish, 1350 Pasadena Avenue, , Pasadena, FL
109, Thee Pitts Again, 5558 W. Bell Road, , Glendale, AZ
110, Tom's Bar-B-Q, 4087 New Getwell Road, 38118, Memphis, TN
111, Village Cafe, 1001 W. Grace Street, , Richmond, VA
112, Virginia Diner, 408 County Drive N, 23888, Wakefield, VA
113, Voula's Offshore Cafe, 658 NE Northlake Way, , Seattle, WA
114, White Palace Grill, 1159 S. Canal Street, , Chicago, IL
115, Willie Bird's Restaurant, 1150 Santa Rosa Avenue, , Santa Rosa, CA
116, YJ's Snack Bar, 128 W. 18th Street, , Kansas City, MO
117, Victor's 1959 Cafe, 3756 Grand Ave, , Minneapolis, MN
118, Town Talk Diner CLOSED, 2701 1/2 E. Lake Street, , Minneapolis, MN
119, Donatelli's, 2692 East County Road E, , White Bear Lake, MN
120, Modern Cafe, 337 13th Ave NE, , Minneapolis, MN
121, Byways Cafe, 1212 NW Glisan, , Portland, OR
122, The Wienery, 414 Cedar Ave S., 55467, Minneapolis, MN
123, Clanton's Cafe, 319 E. Illinois Ave., 74301, Vinita, OK
124, Grinder's, 417 E. 18th St., 64108, Kansas City, MO
125, Tip Top Cafe, 2814 Fredericksburg Rd., 78201, San Antonio, TX
126, The Shed, 7501 Hwy 57, 39565, Ocean Springs, MS
127, The Joint, 701 Mazant Street, 70117, New Orleans, LA
128, Texas Pride BBQ, 2980 E Tx 1604 Loop S, 78101, Adkins, TX
129, Burger Bar, 5291 S 1900 W, 84067, Roy, UT
130, Emily's Lebanese Delicatessen, 641 University Ave NE, 55416, Minneapolis, MN
131, The Original Vito and Nick's Pizzeria, 8433 South Pulaski Road, 60652, Chicago, IL
132, Valencia Luncheria, 172 Main Street, 06851, Norwalk, CT
133, Brewburger's, 4629 South 108th Street, 68127, Omaha, NE
134, Glenn's Diner, 1820 W. Montrose Ave, 60613, Chicago, IL
135, Lone Star Taqueria, 2265 Fort Union Boulevard, 84121, Salt Lake City, UT
136, Pat's BBQ, 155 West Commonwealth Avenue, 84115, Salt Lake City, UT
137, Blow Fly Inn, 1201 Washington Ave, 39507, Gulfport, MS
138, Tune-Up Cafe, 1115 Hickox Street, , Santa Fe, NM
139, Pizzeria Luigi, 1137 25th Street, 92102, San Diego, CA
140, Di Pasquale's, 3700 Gough Street, 21224, Baltimore, MD
141, Lo Bello's, 809 Fifth Avenue, 15108, Coraopolis, PA
142, Stoney Creek Inn, 8238 Fort Smallwood Road, 21226, Baltimore, MD
143, Alcenia's, 317 N Main, 38103, Memphis, TN
144, Harry's Roadhouse, 96 Old Las Vegas, 87505, Santa Fe, NM
145, Dor-Stop Restaurant, 1430 Potomac Ave, 15216, Pittsburgh, PA
146, Surrey's Cafe, 1418 Magazine Street, 70130, New Orleans, LA
147, Sophia's Place, 6313 4th St N.W., 87107, Albuquerque, NM
148, Magnolia Cafe, 1920 S Congress Ave, 78704, Austin, TX
149, Ruth's Diner, 2100 Emigration Canyon, 84108, Salt Lake City, UT
150, O'Rourke's Diner, 728 Main Street, 06457, Middletown, CT
151, Parasol's Restaurant & Bar, 2533 Constance Street, 70130, New Orleans, LA
152, Tommy's Joynt, 1101 Geary Blvd., 94109, San Francisco, CA
153, Joe Tess Place, 5424 South 24th Street, 68102, Omaha, NE
154, Big Jim's, 201 Saline Street, 15201, Pittsburgh, PA
155, Hob Nob Hill, 2271 First Ave, 92101, San Diego, CA
156, Tufano's Vernon Park Tap, 1073 W Vernon Park, 60607, Chicago, IL
157, The Silver Skillet, 200 14th St., 30318, Atlanta, GA
158, Wilsons BBQ, 1851 Post Rd, 06824, Fairfield, CT
159, Standard Diner, 320 Central Ave. SE, 87102, Albuquerque, NM
160, Salsa Brava, 2220 E Route 66, 86004, Flagstaff, AZ
161, Dell Rhea's Chicken Basket, 645 Joliet Road, 60527, Willowbrook, IL
162, Green Mesquite, 1400 Barton Springs Rd., 78704, Austin, TX
163, Gorilla Barbeque, 2145 Coast Highway, 94044, Pacifica, CA
164, Hank's Creekside Restaurant, 2800 4th St., 95405, Santa Rosa, CA
165, Rivershack Tavern, 3449 River Rd., 70121, Jefferson, LA
166, Blue Plate Diner, 2041 S 2100 E, 84108, Salt Lake City, UT
167, Broadway Diner, 6501 Eastern Ave, 21224, Baltimore, MD
168, The Highlander, 931 Monroe Dr., 30308, Atlanta, GA
169, Guys Gumbo Shack, 212 1/2 Fairhope Ave., 36532, Fairhope, AL
170, Starlite Lounge, 364 Freeport Road, 15238, Blawnox, PA
171, Casino El Camino, 517 E 6th St., 78701, Austin, TX
172, G and A Restaurant, 3802 Eastern Avenue, 21224, Baltimore, MD
173, Uncle Lou's, 3633 Millbranch Road, 38116, Memphis, TN
174, Captain Chuck-a-Mucks, 21088 Marina Road, 23314, Carrollton, VA
175, Dixie Quick's, 157 West Broadway, 51503, Council Bluffs, IA
176, Cabbagetown CLOSED, 198 Carroll St. SE, 30312, Atlanta, GA
177, The Cove, 606 W. Cypress St., 78212, San Antonio, TX
178, Bryant Lake Bowl, 801 W Lake St., 55408, Minneapolis, MN
179, Jamaica Kitchen, 8736 SW 72 Street Miami, FL 33173, 33173, Miami, FL
180, Crystal Restaurant, 1211 Penn Avenue, 15222, Pittsburgh, PA
181, Red Iguana, 736 W North Temple, 84116, Salt Lake City, UT
182, Colonnade, 1879 Cheshire Bridge Road NE, 30084, Atlanta, GA
183, Manci's Antique Club, 1715 Main St., 36526, Daphne, AL
184, Amato's, 6405 Center Street, 68016, Omaha, NE
185, Darwell's Cafe, 127 E. First St., 39560, Long Beach, MS
186, Brick Oven Pizza, 800 S Broadway, 21231, Baltimore, MD
187, Nadine's, 19 S. 27th St., 19203, Pittsburgh, PA
188, Casamento's, 4330 Magazine St., 70115, New Orleans, LA
189, Big Mama's, 3223 North 45th St., 68104, Omaha, NE
190, Moochie's Meatballs, 232 E 800 S., 84111, Salt Lake City, UT
191, Cemita's Puebla, 3619 North Ave, 60647, Chicago, IL
192, Tioli's Crazee Burger, 4201 30th Street, 92104, San Diego, CA
193, Cecilia's Cafe, 230 6TH St. SW, 87102, Albuquerque, NM
194, Joey K's, 3001 Magazine St, 70115, New Orleans, LA
195, Kelly O's, 1130 Perry Hwy, 15237, Pittsburgh, PA
196, Giusti's, 14743 Walnut Grove-Thornton Road, 95690, Walnut Grove, CA
197, Louie's, 1839 N Henderson Avenue, 75206, Dallas, TX
198, Super Duper Weenie, 306 Black Rock Turnpike, 06825, Fairfield, CT
199, California Taco, 3235 California Street, 68131, Omaha, NE
